2024-05-23 13:49:33.630 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:35.831 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:41.400 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:45.610 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:46.925 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:51.835 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:55.953 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:07.889 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:12.686 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:17.840 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:29.844 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:31.999 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:35.120 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:40.387 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:45.177 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:53.175 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:50:57.163 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:51:01.063 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:51:05.581 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:51:09.800 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:51:11.324 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:51:13.934 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:51:46.033 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:51:51.750 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:51:54.975 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:52:04.516 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:52:14.840 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:13.592 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:15.211 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:30.361 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:31.970 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:36.692 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:40.321 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:41.911 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:42.970 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:44.479 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:00:46.845 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
